boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,area,overlabel,overmodzct,overpop_es,overzcta,overarea,overmodztc,piecearea,pieceofct,perc_ct,aug6_COVID_CASE_RATE,aug6_COVID_DEATH_RATE,aug6_PERCENT_POSITIVE,may18_COVID_CASE_RATE,may18_COVID_DEATH_RATE,may18_PERCENT_POSITIVE
"1","1002900",Manhattan,I,"002900","29",MN27,Chinatown,"3809",3010944.0126000000163912773132324218750,8978.4423343599992222152650356292725,279728.928227163502015,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,19.3534619800,0.0000691860,0.0069186480,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1002900",Manhattan,I,"002900","29",MN27,Chinatown,"3809",3010944.0126000000163912773132324218750,8978.4423343599992222152650356292725,279728.928227163502015,"10013","10013",28709.0000000000000000000000000000000,"10013","1403711",Hudson Square/Little Italy/SoHo/TriBeCa,136788.3584000000,0.4890032620,48.9003262000,"1071.27","72.34","4.91","850.81","62","22.46"
"1","1002900",Manhattan,I,"002900","29",MN27,Chinatown,"3809",3010944.0126000000163912773132324218750,8978.4423343599992222152650356292725,279728.928227163502015,"10038","10038",22800.0000000000000000000000000000000,"10038","715413",Chinatown/Financial District,76158.0432700000,0.2722565860,27.2256586900,"1256.35","127","7.13","1056.79","113.39","26.81"
"1","1001800",Manhattan,I,"001800","18",MN27,Chinatown,"3809",2399274.6907500000670552253723144531250,6391.9218838300002971664071083068848,222901.050293372158194,"10013","10013",28709.0000000000000000000000000000000,"10013","1403711",Hudson Square/Little Italy/SoHo/TriBeCa,20.2053845700,0.0000906470,0.0090647320,"1071.27","72.34","4.91","850.81","62","22.46"
"1","1004100",Manhattan,E,"004100","41",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",2058614.1083700000308454036712646484375,5913.8706640500004141358658671379089,191252.458552261843579,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,14.9929301200,0.0000783930,0.0078393390,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1004100",Manhattan,E,"004100","41",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",2058614.1083700000308454036712646484375,5913.8706640500004141358658671379089,191252.458552261843579,"10013","10013",28709.0000000000000000000000000000000,"10013","1403711",Hudson Square/Little Italy/SoHo/TriBeCa,147231.4372000000,0.7698276830,76.9827683800,"1071.27","72.34","4.91","850.81","62","22.46"
"1","1005501",Manhattan,I,"005501","55.01",MN23,West Village,"3810",1338496.8130300000775605440139770507813,4650.7671725399995921179652214050293,124351.062372946747928,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,52.3633116700,0.0004210920,0.0421092590,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1005501",Manhattan,I,"005501","55.01",MN23,West Village,"3810",1338496.8130300000775605440139770507813,4650.7671725399995921179652214050293,124351.062372946747928,"10012","10012",23411.0000000000000000000000000000000,"10012","835785",Greenwich Village/SoHo,124298.6997000000,0.9995789120,99.9578912500,"821.48","37.53","4.66","646.34","29.19","21.77"
"1","1004300",Manhattan,I,"004300","43",MN24,SoHo-TriBeCa-Civic Center-Little Italy,"3810",1605585.0793399999383836984634399414063,5090.4199372599996422650292515754700,149164.462684853468090,"10012","10012",23411.0000000000000000000000000000000,"10012","835785",Greenwich Village/SoHo,149121.3363000000,0.9997108800,99.9710880200,"821.48","37.53","4.66","646.34","29.19","21.77"
"1","1005900",Manhattan,I,"005900","59",MN23,West Village,"3810",1250316.2629800001159310340881347656250,5280.1024438399999780813232064247131,116158.752874992831494,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,116156.4219000000,0.9999799320,99.9979932800,"959.08","63.2","5.08","799.23","55.76","22.14"
