"","ctlabel","wt_aug6_CASE_RATE","wt_aug6_DEATH_RATE","wt_aug6_POSITIVE","wt_may18_CASE_RATE","wt_may18_DEATH_RATE","wt_may18_POSITIVE"
"29",30.02,1371.95879857573,117.469980394711,6.89054952966674,1118.31988581559,107.254004003996,25.851986403158
"30",31,944.591926618367,51.8800958634459,4.47218569200986,711.63824363533,47.4204174827258,18.8886841507518
"31",32,1371.87997038953,117.439484580585,6.88964916296514,1118.27814607393,107.230021496931,25.8492808809948
"32",33,1048.29487765782,68.6290783719168,4.83058338928227,825.568925790973,59.355530001555,21.8122904996008
"33",34,1371.86561929267,117.43759893099,6.88958625004779,1118.26705428329,107.228232128431,25.8491519268935
"34",36.01,1637.45772015209,208.404562183485,9.59858603145852,1270.12264695978,179.751200327832,33.7963524616828
"35",36.02,959.187583273488,63.2184237988023,5.08059829084474,799.307895347902,55.7763390747507,22.1414271764636
"36",37,1117.5636703019,81.8496804768074,5.02927399200648,877.097634733408,67.3121284606154,23.2409197694758
"37",38,959.139584706038,63.2078290793998,5.08026120983804,799.27605230465,55.7674293273272,22.1405354080106
"38",39,1071.32841183207,72.3680481959494,4.9106432954732,850.860328461903,62.0244812235115,22.4608496815373
"39",40,959.146149945648,63.208691713213,5.08028999080029,799.281126499602,55.7682479151374,22.1405944010326
"40",41,1013.8392536196,64.341102425011,4.85284419691054,803.795588793579,54.4598540029132,22.3021242091099
"41",42,959.08,63.2,5.08,799.23,55.76,22.14
"42",43,821.715966522775,37.5794142271685,4.6614281902774,646.520382744894,29.2335395659465,21.7734779613435
"43",44,1371.90100439013,117.441225731752,6.88969444351334,1118.29320809202,107.23248751183,25.8490175934892
"44",45,997.212555051353,62.0195722060035,4.83588029449873,790.188975264623,52.2725298500136,22.2554296128165
"45",47,1006.8104750186,63.357110114086,4.84548628349674,798.045521546313,53.5332198461121,22.281942142451
"46",48,959.096070002823,63.2021115037133,5.08007044832666,799.242420312441,55.7620036905283,22.1401443996088
"47",49,823.107503816867,37.786141902933,4.66232857961572,647.560880319841,29.3964005721046,21.7807601440826
"48",50,959.182124365794,62.9174350369744,5.0486735074251,797.734473244474,56.1371709706018,21.820469775736
"49",52,959.3273849534,62.5823856134019,5.01133464227969,795.967866831511,56.588387362515,21.4392988082419
"50",54,1188.94054093844,84.6918659019529,5.55814979836597,978.896996708042,66.290365635976,23.9243477306576
"51",55.01,821.537942340089,37.5408094467303,4.6601768588869,646.404380845757,29.2011884300594,21.7701558042575
"52",55.02,837.269984030204,40.4757096661734,4.70819689717846,663.884470429026,32.2389795813009,21.8124614445776
"53",56,1039.3358035092,63.5266669056747,4.86507484982719,837.84035788364,65.3829358909027,17.6384887747094
"54",57,959.079994458848,63.1999989662692,5.0799999830866,799.22999384312,55.7599989300261,22.1399999851001
"55",58,1113.94950195126,67.3112066984898,4.970923086321,892.865878566735,63.6654804407113,18.3535031578472
"56",59,959.085002848877,63.2004755911198,5.08001125183891,799.23395261027,55.7602192099331,22.140047418464
"57",60,961.011340777501,58.7180898439065,4.58111997802532,775.59714016628,61.7955600727819,17.0459868159843
"58",61,959.090088952191,63.2009590967442,5.08002269092424,799.23797099753,55.7604420678276,22.1400956260379
"59",62,1170.40833238655,71.5913046104501,5.34065394906082,942.006740923398,71.4000238921613,18.6358927051561
"60",63,1208.00419589883,86.8650869449554,5.63979654147753,995.889802484395,66.6683496852358,24.4993687605973
"61",64,960.402336518829,59.5435019542437,4.67461541767854,779.877375001581,60.6409673311792,18.0050496860319
"62",65,895.786204726811,48.9177270331414,4.86497023093948,720.198445691424,39.4992112493461,22.1535847697178
"63",66,1298.05151582943,79.444310083213,5.80366452513741,1043.44450304885,77.255757229679,19.6072961605824
"64",67,1175.74596487826,93.4146310387979,5.16995100786879,911.604515446103,74.0856867711939,24.1397723306844
"65",68,1117.75764582036,68.352443958232,5.14971248679296,900.167462290527,68.9841718092391,18.2356124201923
"66",69,1175.78,93.42,5.17,911.63,74.09,24.14
"67",70,1523.058772699,93.2874635668939,6.61985045307698,1222.25723676162,87.5781086712677,21.3196862446909
"68",71,1194.72778421989,89.5764575212056,5.44579617786769,961.10900791022,69.7359411919612,24.3512481362391
"69",72,1523.1,93.29,6.62,1222.29,87.58,21.32
"70",73,1175.78,93.42,5.17,911.63,74.09,24.14
"71",74,1523.17862265943,93.2935896791078,6.62003082472302,1222.34588522283,87.5756761320349,21.3208238607788
"72",75,1175.78,93.42,5.17,911.63,74.09,24.14
"73",76,1803.65350275921,106.098822260849,6.72999375377585,1421.70878831719,72.1509224424953,24.259804301008
"74",77,1183.66238928265,91.8210638029938,5.28473282635006,932.213557271994,72.278686018048,24.2278804627362
"75",79,1175.78047102038,93.4199044539025,5.17000685597951,911.631229991899,74.0898917630468,24.1400052513886
"76",81,1208.07,86.87,5.64,995.95,66.67,24.5
"77",83,1201.95449888676,88.1105243819051,5.55098527335948,979.98037925462,68.0752963227078,24.4318185072541
"78",87,1208.05221981971,86.867974428038,5.63992380744217,995.934144041196,66.6696485079172,24.4994637769043
"79",89,1208.07,86.87,5.64,995.95,66.67,24.5
"80",91,1424.43952656297,93.8543832914476,6.03593032014338,1150.62046741844,68.6605811654008,24.4122551047
"81",93,1425.17987107744,93.8797763949282,6.0373300192653,1151.15293789228,68.6675857849301,24.4125144911709
"82",95,1803.64370649307,106.098521192982,6.7299329374586,1421.69983881662,72.1496765402073,24.2597747946284
"83",97,1803.67,106.1,6.73,1421.72,72.15,24.26
"84",99,1648.56506683583,95.2519989467274,6.36517661864705,1318.63380792994,67.1911503648721,24.605022490994
"85",101,1803.67,106.1,6.73,1421.72,72.15,24.26
"86",103,1803.67,106.1,6.73,1421.72,72.15,24.26
"87",317.03,1255.961095126,193.24910478042,8.1528585268895,1005.49645678016,167.483786438257,25.7327891803067
"88",317.04,691.238664489766,3.01232058990897,4.95803381203422,485.277043520046,3.01232058990897,17.7582615278481
