ctlabel,EP_POV,EP_UNEMP,EP_NOHSDP,EP_AGE65,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_UNINSUR,ARTHRITIS_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,occupation_PERC_Management,occupation_PERC_Service,occupation_PERC_Sales,occupation_PERC_Natural,occupation_PERC_Production,PERC_MALE,landusejoin_sum1,landusejoin_sum23,landusejoin_sum4,landusejoin_sum5,landusejoin_sum6,landusejoin_sum7,landusejoin_sum8,landusejoin_sum9,landusejoin_sum10,landusejoin_sum11,maypercpos_Predicted,maypercpos_StdError,maycaserate_Predicted,maycaserate_StdError,maydeathrate_Predicted,maydeathrate_StdError,augpercpos_Predicted,augpercpos_StdError,augcaserate_Predicted,augcaserate_StdError,augdeathrate_Predicted,augdeathrate_StdError,wt_aug6_CASE_RATE,wt_aug6_DEATH_RATE,wt_aug6_POSITIVE,wt_may18_CASE_RATE,wt_may18_DEATH_RATE,wt_may18_POSITIVE
26.01,27.2,5,23.8,9.5,17.9,9.8,75.6,12.4,90.1,0,4.4,83.1,6.8,5.5,15,23.9,4.1,9.1,4.5,4.7,17.3,9.8,20.2,2.5,42.1191,18.3975,26.8318,4.6389,8.0127,48.1088,0.390960833,34.51734969,7.327688717,2.357263167,0,0,16.7998572,6.854278509,1.308187423,0.744701872,28.18620053,0.103232012,1110.807363,7.155223282,120.1020742,1.289872331,7.653684412,0.044538647,1398.198003,7.943894081,134.6998134,1.201633455,1371.96,117.45,6.89,1118.34,107.24,25.85
26.02,22.7,3.9,12.3,14.1,14,1.6,40.3,10.9,84.5,0,5.7,81.6,0.7,3.9,13,19.6,4.5,8.2,3.4,3.2,11.9,6.7,15.4,1.8,68.3821,10.3335,20.2141,0,1.0704,51.0273,0.727117651,33.6051508,15.85422451,0.391384226,0.654535445,0,11.98017784,2.803315332,0.416573526,4.627144899,27.70470943,0.069756774,1179.8195,5.035641426,122.170851,0.850043892,7.469234516,0.031345026,1452.210566,5.574139457,135.8112767,0.808598658,1371.96,117.45,6.89,1118.34,107.24,25.85
27,17.8,5,24.6,24.2,10,1.3,82.9,28.9,81.1,0,8.6,69.3,0.8,12.7,18.7,29.1,6.8,6.6,6.4,4.4,11.4,12.3,9.6,3.3,48.1752,17.6642,21.1679,5.5474,7.4453,46.2614,0.034044398,7.267389063,1.374471512,0.770115804,0,0,2.121800766,1.776882302,0,0.012335461,29.73893524,0.086237125,1152.592543,6.255980551,147.3202878,1.048859121,7.63106935,0.03894119,1331.755197,6.92215732,161.3558875,0.99923916,1256.428711,127.0153143,7.130408698,1056.823926,113.401808,26.81134803
28,20.2,3.8,15.5,18.2,12.7,9,69,8.9,91.6,0,5.1,79.2,2.4,2.3,17.4,26,5,9.3,5.4,5.4,16.6,10.7,20.5,3,46.282,18.266,28.4789,2.4375,4.5356,42.6906,0.022825732,28.60681235,10.56981608,0.827102566,0.761318927,6.302556697,8.402999674,3.579894939,0.098961466,0.704923592,25.49048606,0.037964374,1134.19624,2.417376028,107.1183685,0.496856876,6.85350918,0.015047281,1391.97363,2.701891911,116.396887,0.445443611,1371.96,117.45,6.89,1118.34,107.24,25.85
29,25.3,5.8,46.7,24.1,14.1,4.1,88.3,44.1,88,0,18.8,78.7,23.1,8.2,18.4,32.2,5.1,7.6,7.7,6.1,19.6,15.6,14.7,4.3,42.8082,25.4892,19.1781,4.4521,8.0724,60.7855,0,1.814607451,7.653383333,8.687485128,0,1.147678741,9.784975953,2.337159717,0.188490663,0.293811572,27.03214923,0.13742602,1037.186384,10.25831822,125.9644352,1.63676939,6.784231568,0.063854278,1222.262462,11.32926237,136.6179458,1.587141303,1068.532078,78.64357805,5.33095739,848.5084723,69.87988984,22.1462467
30.01,19.9,7.9,7.5,5.8,5,1.3,44.1,6.6,83.5,0,7.3,89.4,0.3,6.8,9.6,15.2,3.2,8.1,2.4,2.5,12.3,5.1,14.2,1.3,55.5747,11.1493,23.8472,2.0303,7.3985,58.9828,0,15.77023614,25.7081727,7.202552076,0,0.365115063,12.1156114,1.881015062,0.085801636,0.342147635,28.09876113,0.183011295,956.0918816,13.29772237,104.5146362,2.221758024,7.307144215,0.082773457,1231.901692,14.71264042,121.3300466,2.120038805,1637.604333,208.4275691,9.599331873,1270.232396,179.7721114,33.79804107
30.02,20.1,1.9,12.2,17.6,11.4,5,43.5,7.7,93.9,0,5,87.7,0.5,4.1,16,22.9,5.6,8.6,4.7,4.3,13.5,8.1,16.5,2.4,64.3716,13.9891,16.3934,1.2022,4.0437,42.813,0.81587089,22.74161814,32.38246931,2.033721921,0,0,2.040404382,0.645602884,0,1.742896608,26.81630195,0.164510037,928.2271116,11.82605748,92.56617128,2.011717148,6.873329953,0.073612881,1183.690629,13.09406839,106.6014851,1.907950705,1371.958799,117.4699804,6.89054953,1118.319886,107.254004,25.8519864
31,10.6,7.8,13.7,7.9,4,0,44.3,6,97.4,0,6.1,83.7,44.4,2.1,7.5,11.9,2.5,8.8,1.8,2.2,11.5,3.6,11,1,59.0429,9.2892,31.2456,0,0.4222,45.9571,0,2.295728581,10.76886508,54.83665122,0.604053156,0,6.322440632,3.492695244,0.821333859,0.26902668,15.78239599,0.096011461,563.0628184,7.24844681,16.02183828,1.133504597,3.262849915,0.04511893,750.3323192,7.999361554,11.93914437,1.107344209,944.5919266,51.88009586,4.472185692,711.6382436,47.42041748,18.88868415
32,16.1,3.6,1.5,17.9,10,0.9,24.5,1.6,81.4,0,4.4,79.8,0.3,6.6,14.9,20.1,5.9,8.1,3.9,3.4,10.3,5.9,13.8,1.9,66.4384,13.0137,13.9127,2.8467,3.7885,55.1394,0.10421492,36.26925764,24.21141073,1.073072399,0,1.109032357,5.624376937,27.02423855,0.096159584,1.216477167,25.55757442,0.127193801,949.8461102,9.167620254,87.34851667,1.552140223,6.516480405,0.057065082,1186.60522,10.14889608,98.44642873,1.474694768,1371.87997,117.4394846,6.889649163,1118.278146,107.2300215,25.84928088
33,4.2,7,2.2,7.1,1.9,2.9,24.3,1,66.2,0,7.4,71,0,0.5,12.6,16.4,4.9,7.8,2.6,2.6,9.4,4.2,13.9,1.3,66.0697,3.8056,27.0227,2.2705,0.8315,48.5976,0.6845089,22.26149654,52.46696373,31.5335984,0.365919562,17.75525486,6.523474167,0.543648469,2.257355525,0.662820583,14.34109965,0.053006639,500.6935769,3.829269753,-14.62563432,0.646748858,2.496626604,0.023835803,735.2364439,4.238189491,-20.70687876,0.614495906,1048.294878,68.62907837,4.830583389,825.5689258,59.35553,21.8122905
